	UFO Parameters							Reflection Parameters						Other				
Name	Ionization	Error	Velocity	+	-	Column (10^22)	Reference	Spin	Inclination	+	-	Reference	Quality control?	Mass	Reference	Mdot	Reference	Notes
MR 2251-178	3.26	0.12	0.137	0.008	0.008	0.3+/-0.1	Gofford+13	0+/-1	24	3	5	Nardini+14	y					
Mrk 766	3.86	0.3	0.039	0.03	0.03	8+/-3	Gofford+13	0+/-1	39	6	3	Buisson+	y					
Mrk 766	4	1	0.082	0.006	0.006	5+/-3	Tombesi+11	0+/-1	39	6	3	Buisson+	y					
NGC 1365	3.88	0.07	0.008	0.001	0.001		Risaliti+?	>0.97	65	5	5	Walton+14	y					Check for velocity measurement
NGC 3516	3.84	0.11	0.004	0.002	0.002	4+/-2	Gofford+13	<0.3	0	20	0	Patrick+12	n					Upper limit on i, check other stuff, too slow
NGC 3516			0.01	0.002	0.0002		Tombesi+11	<0.3	0	20	0	Patrick+12	n					Too slow
NGC 5506	5.04	0.3	0.246	0.006	0.006	10+/-5	Gofford+13	0+/-1	41	0.1	0.2	Sun+17	y					
Swift J2127	4.16	0.2	0.231	0.006	0.006	7	Gofford+13	0.6+/-2	49	2	2	Marinucci+14b	y					
1H 0707+495			0.18	0.02	0.02		Hagino+16	0.97+/-0.03	43	2	2	Kara+15	y					
1H 0707+495			0.11	0.01	0.02		Dauser+12	0.97+/-0.03	43	2	2	Kara+15	y					
1H 0707+495			0.18	0.01	0.01		Dauser+12	0.97+/-0.03	43	2	2	Kara+15	y					
IC 4329A			0.098	0.004	0.004		Tombesi+11		35	5	5	Mantovani+14	n					
